TICKER,MXBRBA Index,MXIBTIIE Index,MXIB91DT Index,MPSWC Curncy,MPSWF Curncy,MPSWI Curncy,MPSW1A SINV Curncy,MPSW2B Curncy,MPSW3C Curncy,MPSW4D Curncy,MPSW5E Curncy,MPSW7G Curncy,MPSW10K Curncy,MPSW16C Curncy,MPSW21H Curncy,MPSW32F Curncy,USSO1Z   Curncy,USSO2Z   Curncy,USSO3Z   Curncy,USSOA    Curncy,USSOB    Curncy,USSOC    Curncy,USSOD    Curncy,USSOE    Curncy,USSOF    Curncy,USSOI    Curncy,USSO1    Curncy,USSO1F   Curncy,USSO2    Curncy,USSO3    Curncy,USSO4    Curncy,USSO5    Curncy,USSO7    Curncy,USSO10    Curncy,USSO15    Curncy,USSO20    Curncy,USSO30    Curncy,USDMXN CURNCY,USDMXNVON BGN Curncy,USDMXNV1W BGN Curncy,USDMXNV2W BGN Curncy,USDMXNV3W BGN Curncy,USDMXNV1M BGN Curncy,USDMXNV2M BGN Curncy,USDMXNV3M BGN Curncy,USDMXNV6M BGN Curncy,USDMXNV1Y BGN Curncy,USDMXNV2Y BGN Curncy,MPTBA CURNCY,MPTBB CURNCY,MPTBC CURNCY,MPTBF CURNCY,MPTB1 CURNCY,BV020476 BVAL Index,BV030476 BVAL Index,BV040476 BVAL Index,BV050476 BVAL Index,BV070476 BVAL Index,BV100476 BVAL Index,MXNON BGN Curncy,MXNTN BGN Curncy,MXN BGN Curncy,MXN1W BGN Curncy,MXN2W BGN Curncy,MXN3W BGN Curncy,MXN1M BGN Curncy,MXN2M BGN Curncy,MXN3M BGN Curncy,MXN4M BGN Curncy,MXN5M BGN Curncy,MXN6M BGN Curncy,MXN9M BGN Curncy,MXN12M BGN Curncy,MXN18M BGN Curncy,MXN2Y BGN Curncy
SHORT_NAME,Bank Rate,MEXICAN INTERBANK TIIP&TII  TI,Mexico Deposit TIIE 91D,MXN SWAP MTH (vs 28D) 3M,MXN SWAP MTH (vs 28D) 6M,MXN SWAP MTH (vs 28D) 9M,MXN SWAP MTH (v 28D) 13M,MXN SWAP MTH (v 28D) 26M,MXN SWAP MTH (v 28D) 39M,MXN SWAP MTH (v 28D) 52M,MXN SWAP MTH (v 28D) 65M,MXN SWAP MTH (v 28D) 91M,MXN SWAP MTH(v 28D) 130M,MXN SWAP MTH(v 28D) 195M,MXN SWAP MTH(v 28D) 260M,MXN SWAP MTH(v 28D) 390M,USD SWAP OIS 1W,USD SWAP OIS 2W,USD SWAP OIS 3W,USD SWAP OIS 1M,USD SWAP OIS 2M,USD SWAP OIS 3M,USD SWAP OIS 4M,USD SWAP OIS 5M,USD SWAP OIS 6M,USD SWAP OIS 9M,USD SWAP OIS 1Y,USD SWAP OIS 18M,USD SWAP OIS 2Y,USD SWAP OIS 3Y,USD SWAP OIS 4Y,USD SWAP OIS 5Y,USD SWAP OIS 7Y,USD SWAP OIS 10Y,USD SWAP OIS 15Y,USD SWAP OIS 20Y,USD SWAP OIS 30Y,USD-MXN X-RATE,USD-MXN OPT VOL ON,USD-MXN OPT VOL 1W,USD-MXN OPT VOL 2W,USD-MXN OPT VOL 3W,USD-MXN OPT VOL 1M,USD-MXN OPT VOL 2M,USD-MXN OPT VOL 3M,USD-MXN OPT VOL 6M,USD-MXN OPT VOL 1Y,USD-MXN OPT VOL 2Y,MXN T-BILL          1 MO,MXN T-BILL          2 MO,MXN T-BILL          3 MO,MXN T-BILL          6 MO,MXN T-BILL          1 YR,MXN Mexico Govt BVAL 2Y,MXN Mexico Govt BVAL 3Y,MXN Mexico Govt BVAL 4Y,MXN Mexico Govt BVAL 5Y,MXN Mexico Govt BVAL 7Y,MXN Mexico Govt BVAL 10Y,MEXICAN PESO         O/N,MEXICAN PESO         T/N,Mexican Peso Spot,MEXICAN PESO        1 WK,MEXICAN PESO        2 WK,MEXICAN PESO        3 WK,MEXICAN PESO        1 MO,MEXICAN PESO        2 MO,MEXICAN PESO        3 MO,MEXICAN PESO        4 MO,MEXICAN PESO        5 MO,MEXICAN PESO        6 MO,MEXICAN PESO        9 MO,MEXICAN PESO        12MO,MEXICAN PESO        18MO,MEXICAN PESO        2 YR
NAME,Mexico Official Overnight Clos,Mexico Interbank TIIE 28 Day,Mexico Interbank TIIE 91 Day,MXN SWAP MTH (vs 28D) 3M,MXN SWAP MTH (vs 28D) 6M,MXN SWAP MTH (vs 28D) 9M,MXN SWAP MTH (v 28D) 13M,MXN SWAP MTH (v 28D) 26M,MXN SWAP MTH (v 28D) 39M,MXN SWAP MTH (v 28D) 52M,MXN SWAP MTH (v 28D) 65M,MXN SWAP MTH (v 28D) 91M,MXN SWAP MTH(v 28D) 130M,MXN SWAP MTH(v 28D) 195M,MXN SWAP MTH(v 28D) 260M,MXN SWAP MTH(v 28D) 390M,USD SWAP OIS 1W,USD SWAP OIS 2W,USD SWAP OIS 3W,USD SWAP OIS 1M,USD SWAP OIS 2M,USD SWAP OIS 3M,USD SWAP OIS 4M,USD SWAP OIS 5M,USD SWAP OIS 6M,USD SWAP OIS 9M,USD SWAP OIS 1Y,USD SWAP OIS 18M,USD SWAP OIS 2Y,USD SWAP OIS 3Y,USD SWAP OIS 4Y,USD SWAP OIS 5Y,USD SWAP OIS 7Y,USD SWAP OIS 10Y,USD SWAP OIS 15Y,USD SWAP OIS 20Y,USD SWAP OIS 30Y,USD-MXN X-RATE,USD-MXN OPT VOL ON,USD-MXN OPT VOL 1W,USD-MXN OPT VOL 2W,USD-MXN OPT VOL 3W,USD-MXN OPT VOL 1M,USD-MXN OPT VOL 2M,USD-MXN OPT VOL 3M,USD-MXN OPT VOL 6M,USD-MXN OPT VOL 1Y,USD-MXN OPT VOL 2Y,MXN T-BILL          1 MO,MXN T-BILL          2 MO,MXN T-BILL          3 MO,MXN T-BILL          6 MO,MXN T-BILL          1 YR,MXN Mexican Bonos BVAL Yield C,MXN Mexican Bonos BVAL Yield C,MXN Mexican Bonos BVAL Yield C,MXN Mexican Bonos BVAL Yield C,MXN Mexican Bonos BVAL Yield C,MXN Mexican Bonos BVAL Yield C,MEXICAN PESO         O/N,MEXICAN PESO         T/N,Mexican Peso Spot,MEXICAN PESO        1 WK,MEXICAN PESO        2 WK,MEXICAN PESO        3 WK,MEXICAN PESO        1 MO,MEXICAN PESO        2 MO,MEXICAN PESO        3 MO,MEXICAN PESO        4 MO,MEXICAN PESO        5 MO,MEXICAN PESO        6 MO,MEXICAN PESO        9 MO,MEXICAN PESO        12MO,MEXICAN PESO        18MO,MEXICAN PESO        2 YR
LONG COMP NAME,Mexico Official Overnight Closing Bank Rate,Mexico Interbank TIIE 28 Day,Mexico Interbank TIIE 91 Day,MXN SWAP MTH (vs 28D) 3M,MXN SWAP MTH (vs 28D) 6M,MXN SWAP MTH (vs 28D) 9M,MXN SWAP MTH (v 28D) 13M,MXN SWAP MTH (v 28D) 26M,MXN SWAP MTH (v 28D) 39M,MXN SWAP MTH (v 28D) 52M,MXN SWAP MTH (v 28D) 65M,MXN SWAP MTH (v 28D) 91M,MXN SWAP MTH(v 28D) 130M,MXN SWAP MTH(v 28D) 195M,MXN SWAP MTH(v 28D) 260M,MXN SWAP MTH(v 28D) 390M,USD SWAP OIS 1W,USD SWAP OIS 2W,USD SWAP OIS 3W,USD SWAP OIS 1M,USD SWAP OIS 2M,USD SWAP OIS 3M,USD SWAP OIS 4M,USD SWAP OIS 5M,USD SWAP OIS 6M,USD SWAP OIS 9M,USD SWAP OIS 1Y,USD SWAP OIS 18M,USD SWAP OIS 2Y,USD SWAP OIS 3Y,USD SWAP OIS 4Y,USD SWAP OIS 5Y,USD SWAP OIS 7Y,USD SWAP OIS 10Y,USD SWAP OIS 15Y,USD SWAP OIS 20Y,USD SWAP OIS 30Y,USDMXN Spot Exchange Rate - Price of 1 USD in MXN,USDMXN Overnight ATM Implied Volatility,USDMXN 1 Week ATM Implied Volatility,USDMXN 2 Week ATM Implied Volatility,USDMXN 3 Week ATM Implied Volatility,USDMXN 1 Month ATM Implied Volatility,USDMXN 2 Month ATM Implied Volatility,USDMXN 3 Month ATM Implied Volatility,USDMXN 6 Month ATM Implied Volatility,USDMXN 1 Year ATM Implied Volatility,USDMXN 2 Year ATM Implied Volatility,MXN T-BILL          1 MO,MXN T-BILL          2 MO,MXN T-BILL          3 MO,MXN T-BILL          6 MO,MXN T-BILL          1 YR,MXN Mexican Bonos BVAL Yield Curve 2 Year,MXN Mexican Bonos BVAL Yield Curve 3 Year,MXN Mexican Bonos BVAL Yield Curve 4 Year,MXN Mexican Bonos BVAL Yield Curve 5 Year,MXN Mexican Bonos BVAL Yield Curve 7 Year,MXN Mexican Bonos BVAL Yield Curve 10 Year,USDMXN Overnight Forward Points,USDMXN Tomorrow Next Forward Points,USDMXN Spot Exchange Rate - Price of 1 USD in MXN,USDMXN 1 Week Forward Points,USDMXN 2 Week Forward Points,USDMXN 3 Week Forward Points,USDMXN 1 Month Forward Points,USDMXN 2 Month Forward Points,USDMXN 3 Month Forward Points,USDMXN 4 Month Forward Points,USDMXN 5 Month Forward Points,USDMXN 6 Month Forward Points,USDMXN 9 Month Forward Points,USDMXN 12 Month Forward Points,USDMXN 18 Month Forward Points,USDMXN 2 Year Forward Points
1,2,3,4,11,12,13,14,15,16,17,18,19,20,21,22,23,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,128,129,130,131,132,133,134,135,136,137,138,141,142,143,144,145,146,147,148,149,150,151,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244
31/dic/05,8.27,8.57,8.28,8.33,8.28,8.21,8.21,8.21,8.33,8.45,8.58,8.79,9.05,9.28,9.43,#N/A N/A,4.26,4.26,4.27,4.32,4.40,4.45,4.52,4.57,4.62,4.70,4.75,4.72,4.73,4.73,4.74,4.76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.64,#N/A N/A,6.00,6.50,#N/A N/A,6.75,6.98,7.13,7.40,7.95,9.13,7.99,8.05,7.97,7.91,7.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19.00,12.75,10.64,89.46,250.00,#N/A N/A,406.00,713.00,"1,013.00",#N/A N/A,#N/A N/A,"1,945.00","2,875.00","3,850.00","5,775.00","7,800.00"
01/ene/06,8.27,8.57,8.28,8.33,8.28,8.21,8.21,8.21,8.33,8.45,8.58,8.79,9.05,9.28,9.43,#N/A N/A,4.26,4.26,4.27,4.32,4.40,4.45,4.52,4.57,4.62,4.70,4.75,4.72,4.73,4.73,4.74,4.76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.64,#N/A N/A,6.00,6.50,#N/A N/A,6.75,6.98,7.13,7.40,7.95,9.13,7.99,8.05,7.97,7.91,7.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19,12.75,10.635,89.46,250,#N/A N/A,406,713,1013,#N/A N/A,#N/A N/A,1945,2875,3850,5775,7800
02/ene/06,8.26,8.57,8.28,8.34,8.24,8.22,8.22,8.21,8.33,8.45,8.58,8.78,9.00,9.28,9.43,#N/A N/A,4.26,4.26,4.26,4.34,4.41,4.46,4.52,4.58,4.62,4.68,4.73,4.73,4.73,2.43,2.48,4.76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.64,#N/A N/A,6.00,6.50,#N/A N/A,6.95,7.05,7.15,7.35,7.80,9.13,8.01,8.05,7.96,7.96,7.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.55,12.55,10.636,89.55,185,#N/A N/A,416.5,720,1022.5,#N/A N/A,#N/A N/A,1945,2905,3850,5740,7775
03/ene/06,8.26,8.55,8.28,8.27,8.16,8.17,8.15,8.17,8.27,8.31,8.52,8.73,8.99,9.28,9.43,#N/A N/A,4.25,4.26,4.26,4.32,4.40,4.46,4.51,4.56,4.61,4.66,4.71,4.67,4.68,2.43,2.48,4.71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.63,#N/A N/A,6.50,6.50,#N/A N/A,6.80,6.93,7.18,7.35,8.10,9.13,7.99,8.05,7.96,7.89,7.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.15,12.35,10.6278,90.1,175,#N/A N/A,400,695,1010,#N/A N/A,#N/A N/A,1927.5,2825,3792,5740,7797
04/ene/06,8.26,8.57,8.28,8.18,8.13,8.13,8.14,8.15,8.24,8.37,8.50,8.76,8.94,9.18,9.31,#N/A N/A,4.25,4.25,4.26,4.32,4.40,4.46,4.51,4.55,4.58,4.64,4.68,4.65,4.65,2.43,2.48,4.68,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.58,7.53,7.30,7.21,7.16,7.15,7.18,7.18,7.40,8.00,8.40,7.99,7.97,7.96,7.89,7.84,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.3,12.3,10.582,88.68,168,#N/A N/A,383,682.5,992.5,#N/A N/A,#N/A N/A,1900,2800,3795,5605,7650
05/ene/06,8.26,8.58,8.23,8.24,8.13,8.13,8.16,8.19,8.24,8.37,8.50,8.71,8.94,9.25,9.37,#N/A N/A,4.25,4.25,4.28,4.34,4.41,4.47,4.52,4.56,4.59,4.65,4.69,4.65,4.65,2.43,2.48,4.67,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.63,7.53,7.45,7.21,7.16,7.25,7.18,7.23,7.55,8.05,8.45,7.99,7.97,7.94,7.89,7.84,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12,36.65,10.6323,102.06,194,#N/A N/A,375,690,1009,#N/A N/A,#N/A N/A,1898,2827.5,3802,5750,7795
